region_id,country_name,income_id,gdp,food_organic_waste_percent,glass_percent,metal_percent,other_percent,plastic_percent,population,e_waste_tons_year,total_solid_waste_generated_tons_year,waste_treatment_recycling_percent
SSF,Ghana,LMC,48199090352.00,67.00,0.00,1.00,28.00,4.00,21542009.00,39000.00,3538274.98,NULL
SSF,Guinea,LIC,9667718427.00,58.00,1.00,1.00,36.00,4.00,8132552.00,8000.00,596911.00,5.00
SSF,"Gambia, The",LIC,1084318241.00,35.00,1.90,2.10,61.10,NULL,1311349.00,2200.00,193440.54,NULL
SSF,Guinea-Bissau,LIC,1062488925.00,NULL,NULL,NULL,0.00,NULL,1770526.00,1000.00,289514.00,NULL
SSF,Equatorial Guinea,UMC,15045964750.00,NULL,NULL,NULL,0.00,NULL,1221490.00,NULL,198443.06,NULL
ECS,Greece,HIC,244481000000.00,40.00,3.00,3.00,40.00,14.00,10892413.00,188460.00,5477424.00,19.00
LCN,Grenada,UMC,931118693.50,27.10,3.10,2.40,51.00,16.40,105481.00,800.00,29536.11,NULL
ECS,Greenland,HIC,2823634004.00,42.80,7.10,2.00,45.80,2.40,56905.00,NULL,50000.00,NULL
LCN,Guatemala,UMC,51421926688.00,37.71,4.39,NULL,40.60,17.29,16252429.00,55000.00,2756740.97,NULL
EAS,Guam,HIC,5214914976.00,27.30,4.60,9.00,46.70,12.40,159973.00,NULL,141500.00,17.85
LCN,Guyana,UMC,2925825406.00,50.10,4.70,4.20,26.80,14.20,746556.00,5000.00,179251.50,0.54
EAS,"Hong Kong SAR, China",HIC,270105000000.00,35.00,3.00,2.00,39.00,21.00,7305700.00,70000.00,5679816.47,34.00
LCN,Honduras,LMC,19545909275.00,57.90,1.27,2.11,24.31,14.41,9112867.00,1700.00,2162027.70,NULL
ECS,Croatia,HIC,61095271083.00,30.90,3.70,2.10,40.40,22.90,4203604.00,58078.00,1650000.00,16.32
LCN,Haiti,LIC,7911616492.00,61.30,1.60,2.50,21.90,12.70,10847334.00,6000.00,2309852.46,NULL
ECS,Hungary,HIC,147183000000.00,22.50,3.50,1.80,59.30,13.00,9843028.00,50066.00,3710000.00,25.94
EAS,Indonesia,LMC,1037860000000.00,53.80,2.50,1.80,27.80,14.00,261115456.00,1270000.00,65200000.00,7.00
SAS,India,LMC,2466180000000.00,NULL,NULL,NULL,0.00,NULL,1071477855.00,1700000.00,168403240.00,5.00
ECS,Ireland,HIC,332361000000.00,16.60,8.50,3.70,58.80,12.40,4586897.00,212874.00,2692537.00,33.00
MEA,"Iran, Islamic Rep.",UMC,540581000000.00,72.90,1.90,2.30,14.70,8.50,80277428.00,630000.00,17900000.00,5.00
MEA,Iraq,UMC,213938000000.00,68.70,2.30,0.98,22.47,5.29,36115649.00,221000.00,13100000.00,NULL
ECS,Iceland,HIC,16434890343.00,10.00,NULL,NULL,81.00,9.00,330815.00,7600.00,525000.00,55.81
